Namecoin;0.973692
Feathercoin;0.121212
Novacoin;4.16
Litecoin;3.18
Terracoin;0.356227
Bitcoin;131.98
WorldCoin;0.026396
Ixcoin;0.009833
BitBar;15.84
Freicoin;0.031675
Mincoin;0.109543
Peercoin;0.211168
Namecoin;0.951576
Feathercoin;0.106904
Novacoin;4.19
Litecoin;3.12
Terracoin;0.349747
Bitcoin;133.48
WorldCoin;0.02565
Ixcoin;0.010066
BitBar;17.36
Freicoin;0.032703
Mincoin;0.12176
Peercoin;0.189542
Namecoin;0.930356
Feathercoin;0.098775
Novacoin;4.31
Litecoin;3.25
Terracoin;0.312343
Bitcoin;129.74
Ixcoin;0.008215
BitBar;17.06
Freicoin;0.032436
Mincoin;0.118353
Peercoin;0.18294
Namecoin;0.888753
Feathercoin;0.101201
Novacoin;4.19
Litecoin;3.1
Terracoin;0.306198
Bitcoin;129
Ixcoin;0.008965
BitBar;17.54
Freicoin;0.033946
Mincoin;0.117394
Peercoin;0.18963
Namecoin;0.89784
Feathercoin;0.10062
Novacoin;4.21
Litecoin;3.09
Terracoin;0.30057
Bitcoin;132.3
Ixcoin;0.007146
BitBar;18.52
Freicoin;0.035456
Mincoin;0.123842
Peercoin;0.183897
Namecoin;0.850689
Feathercoin;0.097902
Novacoin;4.3
Litecoin;3.1
Terracoin;0.27783
Bitcoin;128.8
Ixcoin;0.007342
BitBar;17.02
Freicoin;0.026017
Mincoin;0.115919
Peercoin;0.166151
Namecoin;0.757338
Feathercoin;0.087583
Novacoin;4.33
Litecoin;2.97
Terracoin;0.25631
Bitcoin;129
Ixcoin;0.007166
BitBar;17.03
Freicoin;0.024381
Mincoin;0.090301
Peercoin;0.16125
Namecoin;0.74433
Feathercoin;0.08643
Novacoin;4.21
Litecoin;2.96
Terracoin;0.26445
Bitcoin;129.3
Ixcoin;0.007486
BitBar;16.82
Freicoin;0.02586
Mincoin;0.073702
Peercoin;0.160332
Namecoin;0.74994
Feathercoin;0.085338
Novacoin;4.19
Litecoin;2.83
Terracoin;0.268944
Bitcoin;122.29
Ixcoin;0.006848
BitBar;15.91
Freicoin;0.019811
Mincoin;0.073376
Peercoin;0.151642
Namecoin;0.709295
Feathercoin;0.081936
Novacoin;3.9
Litecoin;2.73
Terracoin;0.23847
Bitcoin;122.22
Ixcoin;0.006722
BitBar;15.9
Freicoin;0.021147
Mincoin;0.033
Peercoin;0.141778
Namecoin;0.727222
Feathercoin;0.078222
Novacoin;3.9
Litecoin;2.73
Terracoin;0.239556
Bitcoin;121.42
Ixcoin;0.006691
BitBar;15.79
Freicoin;0.019792
Mincoin;0.036427
Peercoin;0.134776
Namecoin;0.720021
Feathercoin;0.070424
Novacoin;3.88
Litecoin;2.87
Terracoin;0.231912
Bitcoin;121.65
Ixcoin;0.006641
BitBar;16.06
Freicoin;0.018284
Mincoin;0.053637
Peercoin;0.138681
Namecoin;0.697055
Feathercoin;0.074207
Novacoin;3.88
Litecoin;2.86
Terracoin;0.22262
Bitcoin;118
BitBar;15.43
Freicoin;0.01888
Mincoin;0.057136
Peercoin;0.1298
Namecoin;0.6667
Feathercoin;0.07788
Novacoin;3.79
Litecoin;2.75
Terracoin;0.20886
Bitcoin;111.5
BitBar;15.39
Freicoin;0.016836
Mincoin;0.05575
Peercoin;0.11819
Namecoin;0.63109
Feathercoin;0.08251
Novacoin;3.66
Litecoin;2.6
Terracoin;0.18509
Bitcoin;108.3
BitBar;14.46
Freicoin;0.016246
Mincoin;0.056538
Peercoin;0.11913
Namecoin;0.615144
Feathercoin;0.106134
Novacoin;3.52
Litecoin;2.56
Terracoin;0.200355
Bitcoin;100
WorldCoin;0.01287
BitBar;13.1
Digitalcoin;0.0392
Freicoin;0.016129
Mincoin;0.0411
Peercoin;0.118
Namecoin;0.576
Feathercoin;0.126
Novacoin;3.31
Litecoin;2.38
Terracoin;0.195
Bitcoin;106.35
WorldCoin;0.009784
BitBar;10.64
Digitalcoin;0.040628
Freicoin;0.017123
Mincoin;0.04414
Peercoin;0.119112
Namecoin;0.59556
Feathercoin;0.111668
Novacoin;3.48
Litecoin;2.49
Terracoin;0.190367
Bitcoin;108.9
WorldCoin;0.011365
BitBar;11.43
Digitalcoin;0.038225
Freicoin;0.017751
Mincoin;0.046936
Peercoin;0.118701
Namecoin;0.574992
Feathercoin;0.109989
Novacoin;3.59
Litecoin;2.4
Terracoin;0.192753
Bitcoin;108.15
WorldCoin;0.012019
BitBar;10.82
Digitalcoin;0.038205
Freicoin;0.017416
Mincoin;0.045319
Peercoin;0.118965
Namecoin;0.54832
Feathercoin;0.111395
Novacoin;3.54
Litecoin;2.38
Terracoin;0.190344
Bitcoin;104
WorldCoin;0.0104
BitBar;8.32
Digitalcoin;0.03484
Freicoin;0.017333
Mincoin;0.04358
Peercoin;0.1196
Namecoin;0.5096
Feathercoin;0.1092
Novacoin;3.4
Litecoin;2.27
Terracoin;0.17888
Bitcoin;99.98
WorldCoin;0.010198
BitBar;6
Digitalcoin;0.031268
Freicoin;0.015998
Mincoin;0.041894
Peercoin;0.107977
Namecoin;0.469901
Feathercoin;0.11239
Novacoin;3.27
Litecoin;2.13
GoldCoin;0.001537
Terracoin;0.166965
Bitcoin;99.99
WorldCoin;0.009802
BitBar;6.5
Digitalcoin;0.028728
Freicoin;0.017498
Mincoin;0.041395
Peercoin;0.108987
Namecoin;0.404952
