EverGreenCoin;0.019644
DigitalPrice;0.00012
808Coin;0.00019
Deutsche eMark;0.001638
Zcoin;0.482722
Zetacoin;0.002433
Advanced Technology Coin;0.001045
Bitzeny;6e-05
AllSafe;1e-05
Monero;13.97
Nxt;0.006112
SOILcoin;0.002674
Asiadigicoin;0.060247
CrevaCoin;0.001023
Save and Gain;0.000121
Lykke;0.050584
Rubycoin;0.220143
Anoncoin;0.013088
Dotcoin;0.000297
MintCoin;3e-05
AsiaCoin;0.000409
LoMoCoin;0.026997
Stealth;0.004117
GCN Coin;1e-07
Sequence;0.004492
Motocoin;0.000144
B3Coin;0.004512
HEAT;0.091689
PetroDollar;0.000349
BlueCoin;0.00015
Elite;1e-06
Zeitcoin;7e-06
Bullion;0.10816
OBITS;0.061101
LiteDoge;9.7e-07
VeriumReserve;0.041011
Breakout Stake;0.074833
MaxCoin;0.00293
Manna;0.000539
Quark;0.002373
WorldCoin;0.004361
Nexium;0.013777
SounDAC;0.000962
Hush;0.016353
Ixcoin;0.005818
PWR Coin;1e-05
BunnyCoin;5.9e-08
NobleCoin;6e-05
Trollcoin;4e-05
TeslaCoin;0.000968
Cryptonite;0.001213
e-Gulden;0.016403
Bitswift;0.040422
Pesetacoin;0.000299
SmileyCoin;6e-06
Orbitcoin;0.093052
Kobocoin;0.001986
Photon;2.7e-07
I0Coin;0.007912
FujiCoin;1.2e-05
FlutterCoin;0.00011
Syscoin;0.00894
Truckcoin;0.000469
Bitmark;0.074554
TagCoin;0.035999
Canada eCoin;0.000795
bitBTC;1098.89
Advanced Internet Blocks;0.004071
TrumpCoin;0.065987
Elementrem;0.000748
bitGold;1538.08
BitBar;0.886824
Phoenixcoin;1e-04
PopularCoin;8.6e-07
Moin;0.008167
Adzcoin;0.013499
IncaKoin;1e-05
Digitalcoin;0.007355
Bata;0.007858
Triangles;0.12678
MarteXcoin;0.012213
bitEUR;1.09
Groestlcoin;0.001257
Megacoin;0.015227
Dash;11.23
Freicoin;2e-04
Elcoin;0.005998
Bitcoin Fast;0.00016
BritCoin;0.00459
NuShares;0.00015
Startcoin;0.009479
HOdlcoin;0.001956
Gapcoin;0.002494
UltraCoin;0.002025
Piggycoin;0.000171
Synergy;0.072503
Blakecoin;0.001273
Joulecoin;0.000508
Unitus;0.000174
Fastcoin;0.000274
Emerald Crypto;0.000349
Magi;0.017964
SpreadCoin;0.01786
PayCoin;0.001776
PutinCoin;0.000539
Bitstar;0.00676
Ratecoin;0.00012
Titcoin;0.00043
LanaCoin;1e-05
vSlice;0.081857
BTCtalkcoin;0.002242
Byteball Bytes;20.96
Nyancoin;0.000273
Golfcoin;1e-05
AquariusCoin;0.009025
Rubies;0.009776
Rimbit;0.001497
LiteBar;0.007982
Jin Coin;0.000189
Joincoin;0.155843
SmartCoin;0.000723
Halcyon;0.001557
NEM;0.00344
Cashcoin;0.000249
TEKcoin;2e-05
Aricoin;1e-05
GoldBlocks;0.02884
SecretCoin;0.003333
Coin(O);0.000798
TittieCoin;4e-05
ICO OpenLedger;0.682276
BlazeCoin;2e-06
Creditbit;0.014209
Pakcoin;0.001002
Swing;0.089492
Bolivarcoin;0.000617
BoostCoin;0.03586
Kurrent;0.000196
RevolverCoin;0.000319
Quatloo;0.011518
Influxcoin;0.016
Iconomi;0.303233
Coin2.1;0.000929
Evil Coin;0.00019
GlobalBoost-Y;0.002041
SecureCoin;0.024191
Peercoin;0.246948
Cryptojacks;0.000172
BERNcash;0.000259
X-Coin;0.001098
MojoCoin;0.000339
Zurcoin;5.8e-05
Atomic Coin;0.00859
ParallelCoin;0.010269
NevaCoin;0.004989
RonPaulCoin;0.003293
ParkByte;0.00442
Eternity;0.002678
Dollarcoin;0.001997
Quebecoin;1e-04
RedCoin;0.000317
Nexus;0.027439
C-Bit;1e-05
Money;2e-05
TajCoin;0.00018
Eurocoin;0.000429
PostCoin;0.011333
BumbaCoin;0.000269
Acoin;0.002724
Californium;0.003502
High Voltage;0.00205
Independent Money System;0.000384
Litecred;7e-05
Zayedcoin;0.0057
FuzzBalls;0.000349
Comet;0.001738
PosEx;0.001167
Virtacoin;4.7e-05
MustangCoin;0.004383
Emercoin;0.163603
BitQuark;0.00021
Veltor;0.022392
ARbit;0.002195
NEO;0.141841
AnarchistsPrime;0.001
Prime-XI;0.000599
Wild Beast Block;0.091475
SongCoin;0.000379
Dollar Online;0.010982
PonziCoin;0.000998
Vertcoin;0.034231
Ethereum Classic;1.4
Einsteinium;0.001117
Infinitecoin;5e-06
ClubCoin;0.508876
President Johnson;0.028419
President Trump;0.003265
Zcash;48.47
Bitcoin;998.33
WA Space;0.108348
Sakuracoin;1.2e-05
Burst;0.000536
Pabyosi Coin (Special);0.22034
Mooncoin;2e-06
XRP;0.006368
Cubits;9e-05
Francs;0.002095
First Bitcoin;0.001411
Quotient;0.001152
Storjcoin X;0.124546
AvatarCoin;9e-05
Safe Exchange Coin;0.00018
Alphabit;0.000914
TeslaCoilCoin;0.329236
Aces;2.9e-05
Tellurion;2e-05
DynamicCoin;0.03068
Ubiq;0.056035
bitCNY;0.143959
Unobtanium;1.68
NavCoin;0.037918
Steem Dollars;0.974155
WhiteCoin;0.000349
Dogecoin;0.000228
